,AAC|A,AAC|C,AAC|F,AAC|H,AAC|I,AAC|K,AAC|L,AAC|M,AAC|P,AAC|R,AAC|S,AAC|V,AAC|W,PAAC|D,PAAC|C,PAAC|E,PAAC|G,PAAC|H,PAAC|I,PAAC|K,PAAC|P,PAAC|W,PAAC|V,PAAC|lambda1,PAAC|lambda2,PAAC|lambda3,PHYC|IEP,PHYC|Net Charge,PHYC|Hydrophobic Moment,PHYC|Hydrophobicity,PHYC|Transmembrane Propensity,PHYC|Aromacity,PHYC|Alpha Helical Propensity,PHYC|Aliphatic Index,PHYC|Boman Index,BLOSUM7,BLOSUM11,BLOSUM50,BLOSUM105,BLOSUM117,BLOSUM119,BLOSUM125,BLOSUM136,BLOSUM138,BLOSUM155,BLOSUM158,BLOSUM185,BLOSUM188,BLOSUM197,BLOSUM198,BLOSUM225,BLOSUM240,BLOSUM258,BLOSUM305,BLOSUM318,ZSCALE3,ZSCALE5,ZSCALE13,ZSCALE14,ZSCALE17,ZSCALE23,ZSCALE27,ZSCALE28,ZSCALE32,ZSCALE34,ZSCALE36,ZSCALE37,ZSCALE39,ZSCALE40,ZSCALE50,ZSCALE52,ZSCALE54,ZSCALE55,ZSCALE57,ZSCALE59,ZSCALE64,ZSCALE77,ZSCALE78,ZSCALE79
0,0.0,0.0,0.0,0.0,0.0,14.2857142857143,0.0,0.0,0.0,0.0,57.1428571428571,14.2857142857143,0.0,0.0,0.0,0.0,0.39354600116397,0.0,0.0,0.39354600116397,0.0,0.0,0.39354600116397,0.206487022203892,0.151553488305035,0.248413488327103,8.46510181427002,0.459147458218598,0.0345720963962865,0.385714285714286,-0.615714285714286,0.0,0.854285714285714,41.4285714285714,2.02428571428571,0.0,-2.0,-2.0,-1.0,0.0,-1.0,-1.0,4.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.67,1.15,-1.39,-1.07,0.36,-2.64,-1.54,-1.07,-1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,22.2222222222222,0.0,0.0,0.0,0.0,33.3333333333333,0.0,0.0,0.0,22.2222222222222,0.0,0.0,0.324997527917421,0.649995055834842,0.324997527917421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.256026128728353,0.281519249205688,0.137457094148539,4.05002841949463,-2.25576914309566,0.456269252329574,-0.0888888888888888,-0.263333333333333,0.0,1.13777777777778,130.0,0.556666666666667,-3.0,4.0,-1.0,-4.0,-1.0,-2.0,-1.0,-2.0,-2.0,-3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.49,0.84,3.71,0.18,-1.3,1.15,0.26,-0.11,-1.3,-0.72,0.84,-1.67,0.18,-2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,16.6666666666667,0.0,16.6666666666667,0.0,8.33333333333333,33.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.160347009232643,0.0,0.320694018465285,0.0,0.160347009232643,0.0,0.0,0.260632876651326,0.363129537275268,0.215890576840763,11.9999677658081,3.7600616145893,0.485894783355886,0.433333333333333,-0.630833333333333,0.0,0.938333333333333,130.0,4.36166666666667,-2.0,-4.0,-3.0,-3.0,-1.0,-2.0,-1.0,-2.0,-2.0,-3.0,-3.0,-3.0,-2.0,-1.0,-4.0,-3.0,-3.0,0.0,0.0,0.0,0.36,-0.38,-3.5,1.99,-1.73,1.04,2.5,-3.5,-1.3,-0.72,-3.89,-1.73,-0.84,0.26,2.0,2.5,1.99,-0.17,1.62,-1.15,0.0,0.0,0.0,0.0
3,16.6666666666667,0.0,0.0,0.0,16.6666666666667,0.0,0.0,0.0,0.0,16.6666666666667,0.0,0.0,16.6666666666667,0.0,0.0,0.0,0.0,0.0,0.169748776806049,0.0,0.0,0.169748776806049,0.0,0.218115518098077,0.231929242153666,0.380206462942209,9.75002117156982,0.760091614289302,0.448110794478257,-0.483333333333333,-0.105,0.166666666666667,0.988333333333333,81.6666666666667,2.51166666666667,-3.0,-2.0,-3.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,-1.59,1.04,-1.15,-2.18,-1.71,-2.32,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0.211460695945841,0.0,0.0,0.211460695945841,0.211460695945841,0.211460695945841,0.211460695945841,0.211460695945841,0.0,0.361952635449728,0.261976030625089,0.164610637979342,9.3127965927124,1.83536681044688,0.451641905022532,-0.25,-0.759,0.2,0.981,39.0,2.568,2.0,-2.0,-3.0,-3.0,-1.0,-2.0,9.0,-1.0,-2.0,-3.0,-3.0,-3.0,-2.0,-1.0,-4.0,0.0,0.0,0.0,0.0,0.0,-1.44,0.66,0.59,3.44,-1.07,0.43,0.89,-2.49,-1.67,0.18,-3.89,-1.73,-0.84,0.26,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,11.1111111111111,22.2222222222222,0.0,0.0,0.0,0.0,22.2222222222222,22.2222222222222,11.1111111111111,0.0,0.0,0.0,0.0,0.0,1.13357152923997,0.0,0.0,0.0,0.0,0.0,0.566785764619987,0.0,0.0,0.143660469728455,0.119642710395985,0.169911055255572,5.51141567230224,-0.259700366008717,0.224215391495089,-0.944444444444444,0.326666666666667,0.0,1.20444444444444,97.7777777777778,-1.48555555555556,2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.44,0.66,3.71,0.18,0.27,0.47,-1.3,-1.49,-1.3,-0.72,0.84,-1.67,0.18,-2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,14.2857142857143,0.0,0.0,14.2857142857143,14.2857142857143,14.2857142857143,0.0,0.0,0.230653020339338,0.0,0.0,0.461306040678676,0.0,0.0,0.230653020339338,0.230653020339338,0.0,0.0,0.414030831472822,0.123309363706468,0.232006784481373,8.74773120880127,0.760213374230146,0.113218476672843,1.32857142857143,-1.66428571428571,0.0,0.812857142857143,0.0,4.38714285714286,-2.0,-4.0,-4.0,-3.0,-1.0,-3.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,-0.38,0.36,-0.82,0.93,1.15,0.27,1.84,0.89,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,12.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,25.0,25.0,0.0,0.0,12.5,0.159415683425641,0.0,0.0,0.0,0.0,0.0,0.0,0.318831366851281,0.159415683425641,0.0,0.277115919388638,0.256414859886646,0.307053537299075,9.5987138748169,0.761202375329145,0.434176351316612,0.4125,-0.945,0.125,0.9475,61.25,3.6875,2.0,-4.0,-3.0,0.0,0.0,-2.0,-1.0,-2.0,-2.0,7.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93,0.75,0.59,3.44,2.5,1.84,-2.32,0.6,-1.3,-0.72,-1.66,0.27,0.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.33333333333333,0.0,0.0,8.33333333333333,0.0,0.0,8.33333333333333,8.33333333333333,8.33333333333333,0.0,25.0,0.0,8.33333333333333,0.537275620662722,0.0,0.0,0.0,0.268637810331361,0.0,0.0,0.268637810331361,0.268637810331361,0.0,0.23577377263791,0.239680907595228,0.255907509435502,4.51087894439697,-2.44725692904082,0.15910446013734,-0.0333333333333333,-0.643333333333333,0.0833333333333333,1.05,40.8333333333333,2.2025,0.0,-2.0,-3.0,-1.0,1.0,-2.0,-3.0,-1.0,-4.0,-1.0,-2.0,-3.0,-2.0,-2.0,-2.0,-3.0,-3.0,0.0,0.0,0.0,1.15,0.67,1.93,-2.46,-1.07,0.47,-1.07,1.15,0.27,0.7,1.75,0.5,-1.34,0.66,0.09,-2.32,-0.14,1.3,0.93,-2.46,0.0,0.0,0.0,0.0
9,0.0,22.2222222222222,0.0,0.0,0.0,11.1111111111111,0.0,0.0,11.1111111111111,0.0,22.2222222222222,0.0,0.0,0.0,0.872827639736251,0.0,0.436413819868126,0.0,0.0,0.436413819868126,0.436413819868126,0.0,0.0,0.224203133580711,0.160177626405556,0.179205420145607,8.05837078094482,0.739300632992282,0.251154070744108,0.222222222222222,-1.11,0.0,0.885555555555556,0.0,2.45888888888889,-4.0,-1.0,-3.0,-3.0,-1.0,-3.0,-3.0,0.0,-3.0,-1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.71,-2.65,1.04,-1.15,-1.07,1.04,0.27,1.84,0.89,1.49,2.39,-1.07,-1.39,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,8.33333333333333,0.0,0.0,8.33333333333333,16.6666666666667,8.33333333333333,16.6666666666667,0.0,8.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.345431956621104,0.690863913242208,0.0,0.0,0.213616832341045,0.206657793535492,0.234293417502359,8.75005207061768,0.759102613190302,0.218528003183143,-0.325,-0.4375,0.0833333333333333,1.01,65.0,1.26416666666667,2.0,-2.0,-3.0,-1.0,-1.0,-1.0,-1.0,1.0,-2.0,-2.0,-4.0,-1.0,0.0,1.0,-3.0,-1.0,1.0,0.0,0.0,0.0,-1.44,0.66,1.84,0.7,0.27,-2.49,-1.3,-1.49,-2.18,-1.46,3.05,1.62,-1.15,1.61,0.67,-0.22,1.94,-0.98,-1.3,-0.72,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,7.14285714285714,7.14285714285714,0.0,28.5714285714286,0.0,7.14285714285714,14.2857142857143,14.2857142857143,0.0,0.0,0.0,0.0,0.251338512967231,0.502677025934461,0.251338512967231,0.251338512967231,0.0,0.251338512967231,0.0,0.0,0.307131287758186,0.275990592656786,0.165539606617798,9.60535411834717,0.850066264617098,0.307068914835476,0.0071428571428571,-0.222142857142857,0.0,1.00214285714286,139.285714285714,1.545,-3.0,4.0,2.0,-3.0,-2.0,-3.0,-4.0,0.0,-3.0,-3.0,-2.0,-3.0,-2.0,-1.0,-3.0,-3.0,-2.0,-3.0,0.0,0.0,-1.49,0.84,-1.49,-0.72,-1.07,1.15,-4.06,0.36,0.26,-0.34,-4.28,-1.3,-0.72,0.84,-0.17,1.95,3.9,0.09,0.27,0.7,1.99,0.0,0.0,0.0
12,0.0,22.2222222222222,0.0,0.0,0.0,11.1111111111111,0.0,0.0,11.1111111111111,11.1111111111111,0.0,0.0,0.0,0.248903253884649,0.497806507769299,0.248903253884649,0.497806507769299,0.0,0.0,0.248903253884649,0.248903253884649,0.0,0.0,0.380120312247616,0.264446296977687,0.106530136890047,6.0556489944458,-0.256778143994664,0.351872961125884,1.11111111111111,-1.62444444444444,0.0,0.947777777777778,0.0,3.50666666666667,-4.0,-1.0,-4.0,-3.0,-2.0,-3.0,-3.0,-1.0,-4.0,-1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.71,-2.65,0.36,-0.82,0.93,-2.49,-4.06,0.36,0.27,0.7,3.11,0.26,-0.34,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,6.66666666666667,0.0,26.6666666666667,6.66666666666667,6.66666666666667,0.0,6.66666666666667,0.0,6.66666666666667,0.0,13.3333333333333,0.0,0.0,0.310956756850028,0.0,0.0,0.0,0.310956756850028,0.310956756850028,0.0,0.310956756850028,0.0,0.0,0.12803672909742,0.241797843321995,0.319208670730557,5.0767110824585,-1.15260243761527,0.0838233210384248,-0.9,0.228666666666667,0.333333333333333,0.98,58.6666666666667,0.397333333333333,2.0,-4.0,-1.0,-2.0,-2.0,3.0,-2.0,-2.0,2.0,-2.0,-2.0,-1.0,-2.0,5.0,-2.0,-2.0,-1.0,1.0,0.0,0.0,1.93,0.75,0.6,-0.14,1.94,-1.71,1.94,1.06,2.44,0.04,2.47,1.95,3.9,0.09,-0.4,-1.3,-0.72,0.84,1.94,0.54,0.54,0.0,0.0,0.0
