,AAC|C,AAC|E,AAC|F,AAC|G,AAC|H,AAC|I,AAC|K,AAC|L,AAC|M,AAC|P,AAC|Q,AAC|R,AAC|S,AAC|W,AAC|Y,PAAC|R,PAAC|D,PAAC|C,PAAC|E,PAAC|G,PAAC|H,PAAC|I,PAAC|L,PAAC|K,PAAC|F,PAAC|P,PAAC|S,PAAC|W,PAAC|V,PAAC|lambda1,PAAC|lambda2,PAAC|lambda3,PHYC|Net Charge,PHYC|Hydrophobic Moment,PHYC|Hydrophobicity,PHYC|Aromacity,PHYC|Alpha Helical Propensity,PHYC|Aliphatic Index,PHYC|Boman Index,BLOSUM4,BLOSUM17,BLOSUM18,BLOSUM19,BLOSUM41,BLOSUM42,BLOSUM59,BLOSUM85,BLOSUM87,BLOSUM92,BLOSUM105,BLOSUM114,BLOSUM115,BLOSUM118,BLOSUM119,BLOSUM125,BLOSUM129,BLOSUM134,BLOSUM136,BLOSUM138,BLOSUM156,BLOSUM158,BLOSUM161,BLOSUM164,BLOSUM170,BLOSUM195,BLOSUM197,BLOSUM215,BLOSUM237,BLOSUM240,BLOSUM245,BLOSUM255,BLOSUM258,BLOSUM276,BLOSUM305,BLOSUM318,BLOSUM319,BLOSUM329,ZSCALE4,ZSCALE5,ZSCALE6,ZSCALE9,ZSCALE11,ZSCALE23,ZSCALE25,ZSCALE26,ZSCALE28,ZSCALE32,ZSCALE33,ZSCALE34,ZSCALE35,ZSCALE38,ZSCALE45,ZSCALE52,ZSCALE56,ZSCALE65,ZSCALE68,ZSCALE79,ZSCALE80
0,0.0,0.0,0.0,14.2857142857143,0.0,0.0,14.2857142857143,0.0,0.0,0.0,0.0,0.0,57.1428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.39354600116397,0.0,0.0,0.0,0.39354600116397,0.0,0.0,1.57418400465588,0.0,0.39354600116397,0.206487022203892,0.151553488305035,0.248413488327103,0.459147458218598,0.0345720963962865,0.385714285714286,0.0,0.854285714285714,41.4285714285714,2.02428571428571,0,1,-3,-2,1,-1,-2,-3.0,-2.0,-2.0,-1.0,-1.0,-2.0,-3.0,-1.0,-1.0,-1.0,-2.0,4.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.39,0.67,2.29,1.49,2.39,0.36,-0.38,-2.59,-1.54,-1.07,1.15,-1.39,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,22.2222222222222,11.1111111111111,0.0,0.0,0.0,0.0,0.0,33.3333333333333,0.0,0.0,0.0,0.0,22.2222222222222,0.0,0.0,0.0,0.324997527917421,0.649995055834842,0.324997527917421,0.0,0.0,0.0,0.974992583752262,0.0,0.0,0.0,0.649995055834842,0.0,0.0,0.256026128728353,0.281519249205688,0.137457094148539,-2.25576914309566,0.456269252329574,-0.0888888888888888,0.0,1.13777777777778,130.0,0.556666666666667,-4,-1,-2,-1,0,-3,-2,-1.0,0.0,0.0,-4.0,-3.0,-1.0,-3.0,-2.0,-1.0,-3.0,0.0,-2.0,-2.0,-1.0,-2.0,1.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.72,0.84,3.98,-2.46,0.84,1.15,0.67,3.11,-0.11,-1.3,-1.49,-0.72,0.84,3.71,0.67,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,8.33333333333333,0.0,16.6666666666667,0.0,16.6666666666667,0.0,8.33333333333333,0.0,33.3333333333333,0.0,0.0,0.0,0.64138803693057,0.0,0.0,0.0,0.160347009232643,0.0,0.320694018465285,0.320694018465285,0.0,0.0,0.160347009232643,0.0,0.0,0.0,0.260632876651326,0.363129537275268,0.215890576840763,3.7600616145893,0.485894783355886,0.433333333333333,0.0,0.938333333333333,130.0,4.36166666666667,-1,-2,-2,-3,-1,5,-2,-3.0,0.0,0.0,-3.0,-3.0,-2.0,-3.0,-2.0,-1.0,-3.0,0.0,-2.0,-2.0,-2.0,-3.0,-1.0,-4.0,2.0,7.0,-1.0,-2.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.82,-0.38,3.52,1.99,3.52,1.04,1.61,3.52,-3.5,-1.3,-1.49,-0.72,0.84,-1.71,0.84,2.5,3.05,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,16.6666666666667,0.0,0.0,0.0,0.0,0.0,16.6666666666667,0.0,16.6666666666667,0.0,0.169748776806049,0.0,0.0,0.0,0.0,0.0,0.169748776806049,0.0,0.0,0.0,0.0,0.0,0.169748776806049,0.0,0.218115518098077,0.231929242153666,0.380206462942209,0.760091614289302,0.448110794478257,-0.483333333333333,0.166666666666667,0.988333333333333,81.6666666666667,2.51166666666667,-4,-2,11,2,-2,0,-2,-1.0,-3.0,-3.0,0.0,-2.0,-1.0,-3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.44,-1.59,3.52,1.99,3.05,-1.71,0.26,0.24,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,0.211460695945841,0.0,0.211460695945841,0.0,0.0,0.211460695945841,0.211460695945841,0.0,0.211460695945841,0.0,0.211460695945841,0.211460695945841,0.211460695945841,0.0,0.361952635449728,0.261976030625089,0.164610637979342,1.83536681044688,0.451641905022532,-0.25,0.2,0.981,39.0,2.568,0,-1,-2,-1,-3,-3,2,-2.0,-2.0,-2.0,-3.0,-3.0,-1.0,-3.0,-2.0,9.0,-3.0,-2.0,-1.0,-2.0,-2.0,-3.0,-1.0,-2.0,-3.0,7.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.34,0.66,2.47,3.9,-4.36,0.43,-1.47,2.29,-2.49,-1.67,3.71,0.18,-2.65,-1.71,-0.17,0.0,0.0,0.0,0.0,0.0,0.0
5,22.2222222222222,0.0,0.0,0.0,0.0,0.0,0.0,22.2222222222222,22.2222222222222,11.1111111111111,11.1111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.13357152923997,0.0,0.0,0.0,0.0,1.13357152923997,0.0,0.0,0.566785764619987,0.0,0.0,0.0,0.143660469728455,0.119642710395985,0.169911055255572,-0.259700366008717,0.224215391495089,-0.944444444444444,0.0,1.20444444444444,97.7777777777778,-1.48555555555556,0,-1,-2,-1,0,-3,-2,-1.0,-2.0,-1.0,-1.0,0.0,-3.0,-2.0,-1.0,-1.0,-3.0,0.0,-2.0,-2.0,-1.0,-2.0,-1.0,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.34,0.66,0.24,-0.14,0.84,0.47,-0.98,-4.28,-1.49,-1.3,-1.49,-0.72,0.84,3.71,-0.98,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,28.5714285714286,0.0,0.0,14.2857142857143,0.0,0.0,14.2857142857143,0.0,14.2857142857143,14.2857142857143,0.0,0.0,0.230653020339338,0.230653020339338,0.0,0.0,0.461306040678676,0.0,0.0,0.0,0.230653020339338,0.0,0.230653020339338,0.230653020339338,0.0,0.0,0.414030831472822,0.123309363706468,0.232006784481373,0.760213374230146,0.113218476672843,1.32857142857143,0.0,0.812857142857143,0.0,4.38714285714286,-1,-2,-2,-3,0,-2,-3,-1.0,0.0,0.0,-3.0,-4.0,7.0,-4.0,-3.0,-3.0,-1.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.82,-0.38,3.52,1.99,2.05,1.15,0.67,-1.66,1.84,0.89,-2.49,1.49,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,25.0,0.0,25.0,0.0,12.5,0.0,0.318831366851281,0.159415683425641,0.0,0.0,0.0,0.0,0.0,0.159415683425641,0.0,0.0,0.318831366851281,0.0,0.159415683425641,0.0,0.277115919388638,0.256414859886646,0.307053537299075,0.761202375329145,0.434176351316612,0.4125,0.125,0.9475,61.25,3.6875,6,-1,-4,-3,-3,-3,2,-3.0,-1.0,-1.0,0.0,-2.0,-1.0,-3.0,-2.0,-1.0,-3.0,0.0,-2.0,-2.0,-1.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.46,0.75,3.52,1.99,-4.36,1.84,2.0,0.24,0.6,-1.3,-1.49,-0.72,0.84,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,8.33333333333333,0.0,0.0,8.33333333333333,8.33333333333333,8.33333333333333,8.33333333333333,0.0,25.0,8.33333333333333,0.0,0.0,0.537275620662722,0.0,0.0,0.0,0.268637810331361,0.0,0.268637810331361,0.0,0.0,0.268637810331361,0.805913430994082,0.268637810331361,0.0,0.23577377263791,0.239680907595228,0.255907509435502,-2.44725692904082,0.15910446013734,-0.0333333333333333,0.0833333333333333,1.05,40.8333333333333,2.2025,0,1,-3,-2,-2,-2,-3,-1.0,-2.0,-1.0,-1.0,-2.0,-1.0,-3.0,-2.0,-3.0,-2.0,-4.0,-1.0,-4.0,0.0,-2.0,-3.0,-4.0,-3.0,-2.0,-2.0,-1.0,-1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.39,0.67,-4.28,-0.72,3.98,0.47,-0.98,2.39,1.15,0.27,1.84,0.7,2.0,-1.44,-1.59,-2.32,3.98,0.0,0.0,0.0,0.0
9,22.2222222222222,0.0,0.0,11.1111111111111,0.0,0.0,11.1111111111111,0.0,0.0,11.1111111111111,0.0,0.0,22.2222222222222,0.0,0.0,0.0,0.0,0.872827639736251,0.0,0.436413819868126,0.0,0.0,0.0,0.436413819868126,0.0,0.436413819868126,0.872827639736251,0.0,0.0,0.224203133580711,0.160177626405556,0.179205420145607,0.739300632992282,0.251154070744108,0.222222222222222,0.0,0.885555555555556,0.0,2.45888888888889,-3,-1,-2,-2,-2,0,-2,-3.0,0.0,0.0,-3.0,-4.0,7.0,-4.0,-3.0,-3.0,-1.0,-3.0,0.0,-3.0,4.0,-3.0,0.0,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,-2.65,2.05,-0.82,3.05,1.04,1.61,-1.66,1.84,0.89,-2.49,1.49,0.31,1.15,-2.65,0.0,0.0,0.0,0.0,0.0,0.0
